Date,Solar Volume (mn kWh),Wind Volume (mn kWh),Hydro Volume (mn kWh),Solar Revenue (VNDbn),Wind Revenue (VNDbn),Hydro Revenue (VNDbn),Others Revenue (VNDbn),Solar ASP (VND/kWh),Wind ASP (VND/kWh),Hydro ASP (VND/kWh)
1Q2021,97,,50,209,,90,6,2149,,1800
2Q2021,115,,34,258,,60,3,2243,,1765
3Q2021,109,,97,227,,82,4,2085,,845
4Q2021,43,73,147,88,157,133,63,2079,2155,905
1Q2022,98,125,44,210,268,81,11,2143,2144,1837
2Q2022,107,56,54,229,122,87,68,2140,2179,1614
3Q2022,97,58,131,229,144,103,46,2361,2483,786
4Q2022,63,93,129,217,155,120,4,3444,1667,930
1Q2023,88,137,27,202,262,82,3,2291,1909,3030
2Q2023,112,67,59,238,165,60,17,2128,2472,1020
3Q2023,97,152,77,226,243,96,1,2331,1597,1245
4Q2023,71,153,193,143,288,132,6,2012,1882,684
1Q2024,101,275,28,224,448,63,4,2218,1631,2240
2Q2024,111,111,26,249,180,41,18,2243,1618,1580
3Q2024,96,130,132,217,217,86,23,2260,1669,650
4Q2024,76,131,130,168,213,137,37,2211,1626,1056
1Q2025,92,209,32,210,389,61,453,2283,1861,1906
2Q2025,107,121,45,249,267,68,2,2327,2209,1525
3Q2025,95,152,144,219,764,103,1278,2305,5026,715
4Q2025,,,,,,,,,,
1Q2026,,,,,,,,,,
2Q2026,,,,,,,,,,
3Q2026,,,,,,,,,,
4Q2026,,,,,,,,,,
