date,max_power_thuong_pham_MW,max_power_thuong_pham_time,generation_thuong_pham_mkWh,max_power_dau_cuc_MW,max_power_dau_cuc_time,generation_dau_cuc_mkWh,thuy_dien_mkWh,nhiet_dien_than_mkWh,tuabin_khi_mkWh,nhiet_dien_dau_mkWh,dien_gio_mkWh,dmt_trang_trai_mkWh,dmt_mai_thuong_pham_mkWh,dmt_mai_dau_cuc_mkWh,nhap_khau_mkWh,khac_mkWh
2024-06-01,41421.8,15:40,868.0,41798.1,15:40,873.7,207.3,456.5,84.7,0,16.9,49.1,32.4,38.1,18.6,2.5
2024-06-02,39679.0,21:35,830.0,39679.0,21:35,833.5,172.4,471.8,66.9,0,20.3,45.8,31.4,34.9,19.0,2.3
2024-06-03,47315.1,13:40,959.1,47942.2,13:40,964.9,226.4,518.7,76.9,0,32.0,48.7,33.4,39.1,20.7,2.4
2024-06-04,46300.6,13:35,975.5,46936.5,13:35,981.2,257.5,498.0,82.2,0,26.1,53.7,36.2,41.9,19.4,2.4
2024-06-05,43397.8,15:05,942.2,43875.1,13:45,947.8,289.4,455.2,72.6,0,29.1,46.9,28.4,34.1,18.2,2.3
2024-06-06,42599.4,15:35,912.2,43660.7,15:35,917.9,300.5,422.4,70.5,0,19.1,49.3,33.1,38.9,15.2,2.1
2024-06-07,42383.1,14:00,906.9,42963.0,14:00,912.4,303.8,417.9,72.7,0,22.8,43.2,24.3,29.8,20.5,1.7
2024-06-08,41407.1,15:35,877.2,41860.6,15:35,883.8,325.7,364.9,66.1,0,24.2,44.2,29.2,35.9,20.5,2.3
2024-06-09,35971.2,19:00,767.0,35971.2,19:00,772.5,262.6,351.9,58.3,0,23.9,32.6,19.9,25.3,15.4,2.4
2024-06-10,41289.9,15:35,857.4,41640.5,15:30,862.7,327.4,355.3,58.7,0,25.8,42.3,25.4,30.8,20.0,2.4
2024-06-11,44366.3,14:20,922.8,44835.5,14:20,928.1,343.3,376.3,62.9,0,27.4,54.8,37.0,42.4,18.7,2.4
2024-06-12,46189.9,14:00,965.8,46725.5,13:40,971.2,347.9,403.2,64.5,0,35.2,53.7,37.8,43.2,21.0,2.4
2024-06-13,47882.1,21:45,1005.4,48167.7,13:40,1010.7,350.1,421.9,78.2,0,40.9,55.2,39.3,44.7,17.4,2.4
2024-06-14,48363.4,14:25,1020.0,48847.7,13:30,1025.3,332.0,450.5,99.5,0,35.3,51.0,34.5,39.8,14.8,2.4
2024-06-15,46086.9,14:30,978.7,46575.2,13:30,983.9,337.2,423.9,85.4,0,28.7,53.4,31.8,37.0,15.8,2.4
2024-06-16,40269.3,14:30,869.3,40731.8,14:30,872.3,292.2,395.8,65.7,0,19.0,48.5,32.1,35.1,13.6,2.4
2024-06-17,48152.0,13:40,970.2,48782.0,13:40,976.1,311.2,436.7,84.1,0,30.6,53.5,36.3,42.2,15.5,2.4
2024-06-18,47814.0,14:30,995.2,48323.0,14:30,1001.1,328.6,442.3,81.2,0,37.2,53.1,35.0,40.8,15.5,2.3
2024-06-19,48879.5,13:30,1016.1,49532.6,13:30,1021.9,344.6,466.4,78.4,0,34.0,45.1,30.6,36.4,14.6,2.3
2024-06-20,47128.4,14:30,991.7,47637.4,14:30,997.5,352.8,461.1,86.0,0,28.3,26.8,16.8,22.5,17.5,2.4
2024-06-21,45933.1,14:15,973.9,46499.2,13:05,979.5,362.3,446.0,78.6,0,19.4,30.2,17.7,23.3,17.3,2.4
2024-06-22,43820.0,13:35,926.7,44440.9,13:35,932.6,357.0,409.3,51.6,0,34.1,35.9,20.1,26.0,16.4,2.3
2024-06-23,37051.3,21:35,817.8,37051.3,21:35,821.1,287.5,365.5,37.5,0,45.7,35.6,24.3,27.6,19.3,2.3
2024-06-24,41834.1,16:15,873.4,42223.3,14:45,879.3,339.4,383.1,42.6,0,32.6,37.4,18.6,24.5,17.3,2.3
2024-06-25,42079.9,15:35,896.6,42506.5,14:45,902.6,352.7,399.3,30.4,0,17.1,46.0,29.6,35.6,19.1,2.3
2024-06-26,42543.9,15:45,894.2,42902.3,15:45,900.2,370.3,381.7,37.5,0,7.0,44.4,30.5,36.5,20.5,2.3
2024-06-27,42581.1,15:45,896.0,43008.4,14:30,901.9,375.5,369.3,46.1,0,4.2,47.9,29.7,35.6,20.9,2.4
2024-06-28,42455.4,15:00,902.7,42999.2,14:10,908.7,378.0,368.9,45.8,0,6.7,48.8,30.2,36.3,21.9,2.4
2024-06-29,43736.6,13:55,910.5,44364.1,13:55,916.6,380.1,351.2,45.8,0,18.8,53.1,37.1,43.1,22.0,2.4
2024-06-30,39615.4,22:10,841.9,39615.4,22:10,845.4,328.6,338.2,39.4,0,27.5,51.3,32.2,35.7,22.3,2.4
2024-07-01,45273.8,13:50,941.4,45776.3,13:50,946.5,368.1,375.4,52.6,0,39.0,50.3,33.7,38.9,19.9,2.3
2024-07-02,45607.9,13:40,958.6,46132.5,13:40,963.7,380.1,382.0,67.6,0,18.8,51.8,35.4,40.5,20.7,2.2
2024-07-03,43130.8,15:45,917.3,43533.7,14:25,922.5,383.2,363.6,63.8,0,9.3,45.7,29.2,34.4,20.3,2.2
2024-07-04,42859.7,14:20,907.1,43279.4,14:10,912.2,395.8,362.6,54.3,0,11.1,40.1,24.4,29.5,16.6,2.2
2024-07-05,43979.6,14:30,921.0,44401.3,14:25,926.2,393.2,359.4,51.3,0,11.0,51.0,36.1,41.3,16.7,2.3
2024-07-06,43514.5,14:15,919.5,44067.0,14:15,924.1,385.0,364.6,52.2,0,8.1,52.3,38.0,42.7,16.9,2.3
2024-07-07,38567.4,22:10,836.8,38567.4,22:10,841.1,353.9,343.4,44.7,0,8.3,40.8,29.2,33.5,14.2,2.3
2024-07-08,45875.9,14:25,934.7,46386.1,14:25,939.8,394.8,383.4,54.3,0,7.6,46.8,31.5,36.6,14.2,2.2
2024-07-09,46298.4,14:30,964.3,46808.9,14:30,969.4,404.9,389.6,63.0,0,15.4,42.7,28.9,34.0,17.7,2.2
2024-07-10,44488.6,13:35,949.6,45059.0,13:35,954.7,391.5,369.9,59.1,0,30.6,48.7,32.0,37.2,15.7,2.2
2024-07-11,44845.4,14:20,944.3,45355.2,14:20,949.3,393.3,366.2,59.9,0,33.8,46.3,28.4,33.5,14.1,2.2
2024-07-12,45334.0,14:25,956.4,45844.2,14:25,961.6,395.7,370.2,51.3,0,47.9,44.2,30.3,35.5,14.5,2.3
2024-07-13,43469.0,13:50,923.5,43988.2,14:00,928.9,400.1,360.8,42.1,0,43.1,38.9,23.4,28.8,12.8,2.3
2024-07-14,37133.7,0:30,795.4,37133.7,0:30,801.6,354.0,305.2,34.3,0,40.9,29.8,16.3,22.5,12.6,2.4
2024-07-15,42585.2,14:20,879.0,43138.1,14:20,884.6,399.9,320.2,40.8,0,39.6,38.1,24.0,29.6,14.2,2.3
2024-07-16,42133.7,14:50,883.9,42624.7,14:50,889.5,416.3,317.8,42.9,0,31.7,35.7,20.7,26.2,16.5,2.3
