commodity,color,update_date,week,price,currency_per_unit,percent_change,scraped_at
Chì,DefaultColor,2025-01-03,1,1898.0,USD/Tấn,-2.37,2025-11-11 12:08:13
Chì,DefaultColor,2025-01-10,2,1949.0,USD/Tấn,2.69,2025-11-11 12:08:13
Chì,DefaultColor,2025-01-17,3,1936.0,USD/Tấn,-0.67,2025-11-11 12:08:13
Chì,DefaultColor,2025-01-31,5,1920.0,USD/Tấn,-0.83,2025-11-11 12:08:13
Chì,DefaultColor,2025-02-07,6,1950.0,USD/Tấn,1.56,2025-11-11 12:08:13
Chì,DefaultColor,2025-02-14,7,1951.0,USD/Tấn,0.05,2025-11-11 12:08:13
Chì,DefaultColor,2025-02-21,8,1956.0,USD/Tấn,0.26,2025-11-11 12:08:13
Chì,DefaultColor,2025-02-28,9,1980.5,USD/Tấn,1.25,2025-11-11 12:08:13
Chì,DefaultColor,2025-03-07,10,2005.0,USD/Tấn,1.24,2025-11-11 12:08:13
Chì,DefaultColor,2025-03-14,11,2081.0,USD/Tấn,3.79,2025-11-11 12:08:13
Chì,DefaultColor,2025-03-21,12,2044.5,USD/Tấn,-1.75,2025-11-11 12:08:13
Chì,DefaultColor,2025-03-28,13,2011.5,USD/Tấn,-1.61,2025-11-11 12:08:13
Chì,DefaultColor,2025-04-04,14,1820.0,USD/Tấn,-9.52,2025-11-11 12:08:13
Chì,DefaultColor,2025-04-11,15,1897.0,USD/Tấn,4.23,2025-11-11 12:08:13
Chì,DefaultColor,2025-04-18,16,1891.0,USD/Tấn,-0.32,2025-11-11 12:08:13
Chì,DefaultColor,2025-04-25,17,1961.0,USD/Tấn,3.7,2025-11-11 12:08:13
Chì,DefaultColor,2025-05-02,18,1924.0,USD/Tấn,-1.89,2025-11-11 12:08:13
Chì,DefaultColor,2025-05-09,19,1987.0,USD/Tấn,3.27,2025-11-11 12:08:13
Chì,DefaultColor,2025-05-16,20,1995.0,USD/Tấn,0.4,2025-11-11 12:08:13
Chì,DefaultColor,2025-05-23,21,1964.0,USD/Tấn,-1.55,2025-11-11 12:08:13
Chì,DefaultColor,2025-05-30,22,1957.0,USD/Tấn,-0.36,2025-11-11 12:08:13
Chì,DefaultColor,2025-06-06,23,1958.0,USD/Tấn,0.05,2025-11-11 12:08:13
Chì,DefaultColor,2025-06-13,24,1954.0,USD/Tấn,-0.2,2025-11-11 12:08:13
Chì,DefaultColor,2025-06-20,25,1956.5,USD/Tấn,0.13,2025-11-11 12:08:13
Chì,DefaultColor,2025-06-27,26,2010.0,USD/Tấn,2.73,2025-11-11 12:08:13
Chì,DefaultColor,2025-07-04,27,2041.0,USD/Tấn,1.54,2025-11-11 12:08:13
Chì,DefaultColor,2025-07-11,28,1995.0,USD/Tấn,-2.25,2025-11-11 12:08:13
Chì,DefaultColor,2025-07-18,29,1978.0,USD/Tấn,-0.85,2025-11-11 12:08:13
Chì,DefaultColor,2025-07-25,30,2008.0,USD/Tấn,1.52,2025-11-11 12:08:13
Chì,DefaultColor,2025-08-01,31,1926.0,USD/Tấn,-4.08,2025-11-11 12:08:13
