Date,Hydro,Coals,Gas,Renewables,Import & Diesel
31/1/2020,"3,066","10,196","2,916",887,495
29/2/2020,"2,989","9,941","2,843",865,248
31/3/2020,"2,875","13,773","3,701","1,008",250
30/4/2020,"2,670","11,420","3,160",930,308
31/5/2020,"4,120","12,760","3,330",900,410
30/6/2020,"5,830","11,680","3,290",820,500
31/7/2020,"7,670","11,100","3,160",920,990
31/8/2020,"9,810","8,000","2,560",940,170
30/9/2020,"9,350","8,420","2,460",890,80
31/10/2020,"10,540","6,450","2,270",790,63
30/11/2020,"7,690","8,620","2,370",930,327
31/12/2020,"6,618","11,164","3,185",982,382
31/1/2021,"5,132","9,750","2,576","2,250",150
28/2/2021,"4,199","7,978","2,107","1,841",150
31/3/2021,"4,529","12,022","2,757","3,700",105
30/4/2021,"4,530","11,730","3,110","1,710",78
31/5/2021,"5,620","12,650","2,730","2,850",75
30/6/2021,"6,450","12,540","2,380","2,340",68
31/7/2021,"7,830","10,190","2,290","2,660",98
31/8/2021,"8,210","8,370","1,840","2,960",156
30/9/2021,"8,180","7,440","1,130","2,370",132
31/10/2021,"8,810","8,110","1,520","1,420",175
30/11/2021,"8,550","7,540","1,920","2,780",155
31/12/2021,"6,565","9,754","1,952","4,628",61
31/1/2022,"6,097","9,000","2,400","3,651",171
28/2/2022,"4,749","8,356","2,009","3,451",151
31/3/2022,"5,626","11,138","3,239","3,537",138
30/4/2022,"5,747","10,770","2,875","3,290",86
31/5/2022,"8,329","9,072","2,568","3,232",319
30/6/2022,"11,063","7,710","2,259","3,266",475
31/7/2022,"11,000","8,194","2,180","3,076",310
31/8/2022,"10,663","7,768","2,295","3,089",289
30/9/2022,"9,766","7,555","2,021","2,642",281
31/10/2022,"9,399","7,408","2,206","2,407",497
30/11/2022,"7,287","8,451","2,729","2,738",384
31/12/2022,"6,203","9,119","2,486","3,486",417
31/1/2023,"5,500","7,580","1,880","2,980",368
28/2/2023,"5,070","8,890","2,440","3,470",367
31/3/2023,"4,810","11,560","2,820","3,770",218
30/4/2023,"5,371","11,804","2,816","3,024",346
31/5/2023,"4,431","13,601","2,762","3,073","1,371"
30/6/2023,"4,768","13,237","2,675","3,112",248
31/7/2023,"6,970","13,190","2,580","2,610",470
31/8/2023,"11,650","8,130","1,250","4,240",400
30/9/2023,"9,600","9,120","1,560","2,780",480
31/10/2023,"8,690","10,540","2,080","2,450",460
30/11/2023,"7,830","9,930","1,900","3,120",410
31/12/2023,"6,334","11,907","1,515","3,222",711
31/1/2024,"4,790","12,750","1,850","4,090",490
29/2/2024,"2,997","11,206","1,827","3,232",485
31/3/2024,"2,833","16,035","2,383","4,128",175
30/4/2024,"3,790","16,900","2,460","3,100",410
31/5/2024,"4,670","17,080","2,650","3,070",460
30/6/2024,"9,550","12,370","1,950","3,110",540
31/7/2024,"12,270","10,060","1,530","3,290",510
31/8/2024,"12,515","10,261","1,561","3,356",520
30/9/2024,"12,155","8,609",979,"2,704",430
31/10/2024,"10,740","10,720","1,270","2,800",500
30/11/2024,"7,631","12,599","1,846","3,288",452
31/12/2024,"7,135","11,780","1,726","3,074",423
31/1/2025,"4,831","12,906","1,404","3,817",432
28/2/2025,"4,459","11,914","1,296","3,523",432
31/3/2025,"4,510","15,980","1,900","4,170",467
30/4/2025,"4,700","15,800","2,300","3,690",390
31/5/2025,"7,200","15,800","1,800","3,000",580
30/6/2025,"10,800","12,200","1,570","2,780",940
31/7/2025,"12,975","10,555","1,550","3,215","1,000"
31/8/2025,"12,975","10,555","1,550","3,215","1,000"
30/9/2025,"12,700","9,530","1,500","2,340",950
31/10/2025,"12,430","9,020","1,770","2,840","1,190"
