Unnamed: 0,Power Electricity (GWh) - GSO reported
31/1/2020,16579.636
29/2/2020,17354.353
31/3/2020,19911.17716
30/4/2020,17527.008
31/5/2020,20231.71
30/6/2020,21346.76394
31/7/2020,22205.15
31/8/2020,20900.62399
30/9/2020,20710.37001
31/10/2020,19678.07
30/11/2020,18932.688
31/12/2020,19112.934
31/1/2021,19171.16392
28/2/2021,15119.219
31/3/2021,21309.07
30/4/2021,21229.04406
31/5/2021,22924.53738
30/6/2021,22930.38554
31/7/2021,22289.28411
31/8/2021,20830.8189
30/9/2021,18495.5965
31/10/2021,19902.122
30/11/2021,19968.1324
31/12/2021,20607.477
31/1/2022,20017.39735
28/2/2022,17751.136
31/3/2022,22448.705
30/4/2022,22066
31/5/2022,23113.0666
30/6/2022,23782.0518
31/7/2022,23744.188
31/8/2022,23328.6495
30/9/2022,21598.01102
31/10/2022,20972.99124
30/11/2022,20504.23
31/12/2022,20648.624
31/1/2023,17400
28/2/2023,19199.61841
31/3/2023,22232.91288
30/4/2023,22574.232
31/5/2023,23868.86561
30/6/2023,22983.302
31/7/2023,24683.88061
31/8/2023,24636.07857
30/9/2023,22421.3399
31/10/2023,22730.29303
30/11/2023,21922.7734
31/12/2023,22022.56116
31/1/2024,22710.05946
29/2/2024,18710.8394
31/3/2024,24323.22538
30/4/2024,25343.93056
31/5/2024,26475.45294
30/6/2024,26197.19886
31/7/2024,26310.03055
31/8/2024,27228.16755
30/9/2024,23795.33637
31/10/2024,24580.19349
30/11/2024,23757.41211
31/12/2024,23911.33274
31/1/2025,23600
28/2/2025,22275.81054
31/3/2025,27510.73622
30/4/2025,27440.9622
31/5/2025,29038.22388
30/6/2025,28649.05679
31/7/2025,29594.99167
31/8/2025,30198.35714
30/9/2025,28378.0038
31/10/2025,28203.3968
